status,aspect,sentiment,compound
Normal,sleep,negative,-0.5413
Normal,appetite,positive,0.8439
Normal,social_support,positive,0.8439
Normal,sleep,neutral,0.0
Normal,social_support,neutral,0.0
Normal,hopelessness,positive,0.703
Normal,social_support,positive,0.4617
Normal,appetite,positive,0.1567
Normal,hopelessness,negative,-0.8176
Normal,hopelessness,neutral,0.0
Normal,sleep,positive,0.25
Normal,sleep,negative,-0.5204
Normal,social_support,negative,-0.5204
Normal,concentration,positive,0.3736
Normal,motivation,positive,0.8696
Normal,concentration,negative,-0.1779
Normal,sleep,negative,-0.631
Normal,hopelessness,positive,0.5994
Normal,sleep,negative,-0.504
Normal,social_support,negative,-0.3022
Normal,social_support,positive,0.7096
Normal,appetite,neutral,0.0387
Normal,sleep,negative,-0.3612
Normal,social_support,negative,-0.3612
Normal,sleep,positive,0.0772
Normal,social_support,positive,0.874
Normal,sleep,negative,-0.128
Normal,appetite,neutral,0.0
Normal,social_support,neutral,0.0
Normal,social_support,positive,0.4767
Normal,social_support,negative,-0.1531
Normal,sleep,negative,-0.128
Normal,sleep,negative,-0.4404
Normal,appetite,neutral,0.0
Normal,social_support,positive,0.4588
Normal,social_support,positive,0.7906
Normal,appetite,positive,0.5833
Normal,sleep,positive,0.2263
Normal,hopelessness,positive,0.6761
Normal,hopelessness,positive,0.7184
Normal,social_support,positive,0.7096
Normal,hopelessness,positive,0.7096
Normal,social_support,positive,0.8381
Normal,hopelessness,positive,0.3818
Normal,social_support,positive,0.743
Normal,hopelessness,positive,0.8126
Normal,social_support,positive,0.4767
Normal,sleep,negative,-0.5777
Normal,appetite,negative,-0.1139
Normal,sleep,neutral,0.0
Normal,therapy,negative,-0.7964
Normal,hopelessness,negative,-0.3612
Normal,social_support,positive,0.8248
Normal,sleep,negative,-0.4404
Normal,therapy,negative,-0.4939
Normal,social_support,negative,-0.7275
Normal,appetite,negative,-0.4215
Normal,social_support,positive,0.128
Normal,hopelessness,negative,-0.296
Normal,hopelessness,negative,-0.5106
Normal,appetite,negative,-0.2755
Normal,appetite,positive,0.3749
Normal,appetite,negative,-0.3597
Normal,hopelessness,negative,-0.3597
Normal,social_support,positive,0.1615
Normal,hopelessness,positive,0.1615
Normal,social_support,positive,0.9253
Normal,appetite,positive,0.5574
Normal,hopelessness,negative,-0.5267
Normal,social_support,positive,0.4767
Normal,hopelessness,negative,-0.2648
Normal,sleep,negative,-0.6799
Normal,appetite,neutral,0.0
Normal,social_support,positive,0.1071
Normal,self_harm,negative,-0.5994
Normal,social_support,positive,0.8658
Normal,sleep,negative,-0.8858
Normal,sleep,negative,-0.505
Normal,hopelessness,negative,-0.3182
Normal,social_support,positive,0.5106
Normal,sleep,neutral,0.0
Normal,social_support,positive,0.9121
Normal,concentration,neutral,0.0018
Normal,social_support,positive,0.8689
Normal,social_support,positive,0.8225
Normal,sleep,negative,-0.3744
Normal,social_support,neutral,0.0
Normal,sleep,negative,-0.4404
Normal,hopelessness,neutral,-0.0258
Normal,sleep,negative,-0.4404
Normal,social_support,positive,0.6124
Normal,sleep,positive,0.2023
Normal,social_support,positive,0.7134
Normal,social_support,negative,-0.1779
Normal,sleep,negative,-0.4404
Normal,social_support,negative,-0.212
Normal,social_support,positive,0.7906
Normal,hopelessness,positive,0.0772
Normal,hopelessness,negative,-0.6249
Normal,energy,positive,0.2732
Normal,sleep,negative,-0.0516
Normal,social_support,positive,0.9201
Normal,sleep,neutral,0.0
Normal,social_support,positive,0.624
Normal,self_harm,positive,0.2942
Normal,social_support,positive,0.3763
Normal,social_support,positive,0.7184
Normal,hopelessness,positive,0.3173
Normal,hopelessness,neutral,0.0
Normal,medication,positive,0.2263
Normal,appetite,neutral,0.0
Normal,appetite,neutral,0.0
Normal,hopelessness,positive,0.4648
